,乘客编号,订单金额,叫车时间
550,208899942,32.62,2020/2/29 12:11
551,307857670,13.63,2020/2/29 12:11
552,918378860,38.35,2020/2/29 12:11
553,393445495,37.12,2020/2/29 12:09
554,278852051,20.24,2020/2/29 12:09
555,308931298,24.13,2020/2/29 12:07
556,962442799,40.82,2020/2/29 12:07
557,901344939,36.63,2020/2/29 12:07
558,980504415,30.32,2020/2/29 12:05
559,992848703,28.56,2020/2/29 12:04
560,986116061,29.97,2020/2/29 12:03
561,224023156,33.54,2020/2/29 12:03
562,922696285,25.1,2020/2/29 12:03
563,984895215,23.38,2020/2/29 12:02
564,278101159,32.89,2020/2/29 12:02
565,273639010,45.4,2020/2/29 12:00
566,13617796,23.23,2020/2/29 12:00
567,929874590,31.52,2020/2/29 12:00
568,340173266,34.65,2020/2/29 11:59
569,213373025,14.52,2020/2/29 11:59
570,907712487,23.95,2020/2/29 11:59
571,301976672,40.87,2020/2/29 11:58
572,988320672,31.46,2020/2/29 11:58
573,935538027,21.69,2020/2/29 11:58
574,203888507,26.61,2020/2/29 11:57
575,227838185,22.72,2020/2/29 11:56
576,957626222,19.38,2020/2/29 11:55
577,336833249,43.46,2020/2/29 11:54
578,242065023,20.43,2020/2/29 11:53
579,268897670,49.48,2020/2/29 11:52
580,977528961,19.09,2020/2/29 11:52
581,921679197,30.31,2020/2/29 11:51
582,227105083,22.16,2020/2/29 11:49
583,369975691,135.5,2020/2/29 11:49
584,202103496,31.51,2020/2/29 11:49
585,961708178,20.88,2020/2/29 11:48
586,988622502,14.4,2020/2/29 11:48
587,970361421,15.12,2020/2/29 11:48
588,333874649,15.36,2020/2/29 11:47
589,960575335,27.67,2020/2/29 11:47
590,910821941,24.48,2020/2/29 11:45
591,338395137,24.75,2020/2/29 11:45
592,13097256,29.88,2020/2/29 11:45
593,251938221,35,2020/2/22 9:13
594,396246704,40.22,2020/2/29 11:44
595,12941465,43.87,2020/2/29 11:43
596,997191054,15.49,2020/2/29 11:43
597,264649045,23.06,2020/2/29 11:42
598,999447286,12.38,2020/2/29 11:42
599,366934613,15.48,2020/2/29 11:42
600,12632019,23.61,2020/2/29 11:41
601,955864481,21.07,2020/2/29 11:41
602,392962165,17.76,2020/2/29 11:40
603,308435480,14.55,2020/2/29 11:39
604,986679735,39.67,2020/2/29 11:38
605,386704379,24.62,2020/2/29 11:38
606,985945320,17.77,2020/2/29 11:38
607,949324993,52.58,2020/2/29 11:38
608,931150812,38.78,2020/2/29 11:38
609,953142901,32.56,2020/2/29 11:37
610,967225397,21.01,2020/2/29 11:36
611,902495229,17.79,2020/2/29 11:35
612,341072628,19.83,2020/2/29 11:34
613,387141274,15.19,2020/2/29 11:32
614,377876665,33.51,2020/2/29 11:32
615,927409065,32.76,2020/2/29 11:32
616,304085355,39.82,2020/2/29 11:31
617,13217197,37.74,2020/2/29 11:31
618,347535512,20.71,2020/2/29 11:30
619,995707937,42.51,2020/2/29 11:30
620,310033212,16.74,2020/2/29 11:30
621,13755987,41.06,2020/2/29 11:29
622,284668425,18.43,2020/2/29 11:29
623,956983045,25.45,2020/2/29 11:29
624,270695082,18.67,2020/2/29 11:29
625,246057798,20.79,2020/2/29 11:29
626,369577156,17.3,2020/2/29 11:29
627,904353240,18.38,2020/2/29 11:28
628,335802339,21.85,2020/2/29 11:28
629,374436679,17.95,2020/2/29 11:28
630,357084057,27.61,2020/2/29 11:28
631,325917778,14.31,2020/2/29 11:28
632,352852236,20.04,2020/2/29 11:27
633,997191054,21.4,2020/2/29 11:27
634,988355915,33.33,2020/2/29 11:26
635,905567234,41.72,2020/2/29 11:26
636,268882697,78.84,2020/2/29 11:25
